Country,2000,2007,2014,2022
Afghanistan,50.6,51.1,40.4,38.2
Albania,39.2,25,15.2,11.3
Algeria,23.6,15.4,11.7,9.8
Angola,46.7,29.2,37.6,29.8
Argentina,10.5,8.2,8.3,12.3
Armenia,17.3,17.9,9.4,11.4
Azerbaijan,24.2,26.5,17.8,12.9
Bahrain,1.8,1.4,1.3,1.2
Bangladesh,51.1,43.2,36.2,28
Belarus,6.2,4.5,3.5,3.5
Benin,36.2,37.4,34,32.2
Bhutan,47.7,34.9,25.5,20.5
Bolivia (Plurinat. State of),33.2,27.1,17.1,18
Bosnia & Herzegovina,12.1,11.8,8.9,7.7
Botswana,29.1,28.9,18.7,15.4
Brazil,9.9,7,6.8,6.5
Bulgaria,10.8,9.2,7,6.9
Burkina Faso,41.4,35.1,29,19.6
Burundi,64,57.7,53.7,50.9
Cabo Verde,15,9.9,8.2,7.2
Cambodia,49,41.1,32.4,28.1
Cameroon,38.2,37.6,31.7,28.9
Central African Republic,44.4,43.6,38,40
Chad,38.9,37,39.8,31.1
Chile,3,2.1,1.8,1.8
China,17.8,9.8,8.1,4.8
Colombia,18.2,16,12.7,10.2
Comoros,46.9,39.6,31.1,28.7
Congo (Republic of),29.9,31.2,21.2,26.4
Costa Rica,11,5.6,5.3,9
Côte d'Ivoire,31.2,39,25.8,20.4
Croatia,1.3,1,0.9,0.8
Dem. Rep. of the Congo,44.4,45.8,42.7,41.8
Djibouti,27.1,33,28,20.9
Dominican Republic,7.7,10.1,7.1,6.7
Ecuador,27.9,25.9,23.9,23
Egypt,24.4,30.7,22.3,22.4
El Salvador,32.3,20.8,13.6,14.3
Equatorial Guinea,42.7,30,24.7,25.6
Eritrea,43,NaN,NaN,NaN
Estonia,1.5,1.2,1.2,1.1
Eswatini,36.5,29.2,25.5,27.2
Ethiopia,57.4,50,40.4,36.8
Fiji,5.6,4.3,3.9,7.2
Gabon,25.9,21,17,17.8
Gambia,24.1,27.7,24.6,17.5
Georgia,16.1,13.2,6,5.8
Ghana,30.6,28.2,18.8,17.5
Guatemala,51,51.5,46.7,38.2
Guinea,46.9,34,32.6,30.3
Guinea-Bissau,33.8,31,27.6,27.9
Guyana,13.9,17.9,11.3,9.1
Haiti,28.8,29.6,22.7,21.9
Honduras,35.5,29.8,22.6,18.7
Hungary,11.2,9.3,8.1,7.9
India,54.2,47.8,38.7,35.5
Indonesia,42.4,40.1,36.4,30.8
Iran (Islamic Republic of),20.4,8.4,7.4,4.8
Iraq,28.1,27.5,16.7,12.6
Jamaica,7.2,5.4,6,4.6
Jordan,11.7,8.2,7.8,7.4
Kazakhstan,13.2,17.5,8,9.1
Kenya,40.8,40.3,26.2,23.6
Korea (DPR),51,32.4,27.9,19.1
Kuwait,4,5.1,5.8,6.4
Kyrgyzstan,22.3,18.1,12.9,11.8
Lao PDR,47.5,47.7,35.5,33.1
Latvia,4.3,2.4,2.2,1.8
Lebanon,16,14.7,12.9,13.3
Lesotho,44.1,42,33.4,34.6
Liberia,45.3,39.6,32.1,29.8
Libya,34.3,21,38.1,29.7
Lithuania,3.6,2.1,1.8,1.5
Madagascar,55,49.4,48.9,39.8
Malawi,54.7,53.1,42.4,35.2
Malaysia,20.7,17.5,17.7,21.8
Maldives,31.9,19,16.5,15.3
Mali,42.5,37.6,28.1,22.1
Mauritania,38.6,31.5,27.9,21.6
Mauritius,12.5,11.3,9.8,9
Mexico,21.4,15.5,12.4,13.9
Moldova (Rep. of),13.1,10.7,6.4,5.4
Mongolia,29.8,27.5,10.8,9.4
Montenegro,NaN,7.9,9.4,7.2
Morocco,24.8,19.4,15.8,15.1
Mozambique,50.7,43.5,42.3,37.5
Myanmar,40.8,37.9,29.4,26.7
Namibia,29.3,29.2,22.7,16.6
Nepal,56.1,49.1,37.1,31.5
Nicaragua,25.1,23.1,17.3,15.4
Niger,53.5,49.2,42.2,44.4
Nigeria,48.3,41.1,33.6,31.5
North Macedonia,8,11.3,4.1,4.3
Oman,15.8,9.8,14.1,11.4
Pakistan,41.4,42,45,37.6
Panama,21.4,19,15.1,15.9
Papua New Guinea,48,43.9,43.2,39.6
Paraguay,13.2,17.1,8.1,8
Peru,31.3,28,14.8,11.4
Philippines,38.3,32,30,29.5
Qatar,7.9,5.3,4.6,0.6
Romania,12.8,10.9,9.6,9
Russian Federation,16.7,13,13,13.4
Rwanda,47.9,49,37.6,33.1
Saudi Arabia,11,9.3,6.8,6.3
Senegal,26,19.9,18.8,18.3
Serbia,NaN,8.1,6,5.4
Sierra Leone,35.5,45,29.1,26.3
Slovakia,9.3,7.3,6.6,6.2
Solomon Islands,34.2,32.8,31.7,29
Somalia,29.2,42,NaN,NaN
South Africa,30.1,24.9,21.4,21.4
South Sudan,NaN,NaN,NaN,NaN
Sri Lanka,18.3,18.1,15.9,13.4
Sudan,NaN,NaN,38.2,36.5
Suriname,14.1,10.6,8.8,8.3
Syrian Arab Republic,24.3,28.7,NaN,NaN
Tajikistan,42.1,39.3,23.3,17.5
Tanzania (United Rep. of),48.3,43.8,34.7,31.8
Thailand,21.6,15.7,16.4,13.4
Timor-Leste,55.7,57.2,51.7,46.7
Togo,33.2,28.4,27.6,23.8
Trinidad & Tobago,5.3,5.9,5.7,5.9
Tunisia,16.8,9,10.1,8.4
Türkiye,18.8,12.5,10,6
Turkmenistan,27.2,18.9,11.5,7.2
Uganda,44.9,38.4,34,25.4
Ukraine,22.9,17.6,17.4,17.4
United Arab Emirates,3.5,3.8,4.1,3.9
Uruguay,12.8,10.8,5,6.9
Uzbekistan,24.9,19.6,14.7,10.8
Venezuela (Boliv. Rep. of),17.4,15.6,11,22.2
Viet Nam,42.9,32.2,24.9,19.6
Yemen,52.7,57,46.4,55.5
Zambia,59.2,45.8,40,34.6
Zimbabwe,33.8,35.3,27.6,23.5
