Country,2000,2007,2014,2022
Afghanistan,47.8,29.8,20.7,29.8
Albania,4.9,8.3,5,3.9
Algeria,8,5.9,2.9,2
Angola,67.5,46.1,13.7,20.8
Argentina,3,3.3,2,3.7
Armenia,26.1,6.9,2.8,3.5
Azerbaijan,17,2,2,2
Bahrain,NaN,NaN,NaN,NaN
Bangladesh,15.9,13.9,14.1,11.4
Belarus,2,2,2,2
Benin,17.2,10.1,7.4,7.4
Bhutan,NaN,NaN,NaN,NaN
Bolivia (Plurinat. State of),27.9,23.9,15.6,13.9
Bosnia & Herzegovina,3.2,2,2,2
Botswana,23.7,22.2,19.3,21.9
Brazil,10.7,5.6,2.5,4.1
Bulgaria,4,4.6,3.3,3
Burkina Faso,22.6,16,11.8,18
Burundi,NaN,NaN,NaN,NaN
Cabo Verde,14.5,12.3,16.2,17.7
Cambodia,23.6,14.8,9.2,6.3
Cameroon,22.9,12.6,5.3,6.7
Central African Republic,39.2,35.7,47.9,52.2
Chad,38.8,39.2,27,32.7
Chile,3.4,3.1,3,2.6
China,10,5,2,2
Colombia,8.7,11,7.5,8.2
Comoros,27.1,19.6,20,20.4
Congo (Republic of),27,35.4,25.3,31.6
Costa Rica,4.7,3.8,4.7,3.4
Côte d'Ivoire,20.4,17.9,9.2,4.4
Croatia,6.8,2,2,2
Dem. Rep. of the Congo,32.2,34.5,35.1,39.8
Djibouti,42,25.1,15.7,13.5
Dominican Republic,20.4,16.2,8.2,6.7
Ecuador,21,22.1,8.7,15.4
Egypt,5.2,5.7,4.2,5.1
El Salvador,7.2,9.7,10.8,7.7
Equatorial Guinea,NaN,NaN,NaN,NaN
Eritrea,NaN,NaN,NaN,NaN
Estonia,3.6,2,2,2
Eswatini,10.5,10.7,12.7,11
Ethiopia,47,35,15.9,24.9
Fiji,4,3.7,6.3,5.7
Gabon,10.7,15.9,13.3,17.2
Gambia,17.8,18.7,10.5,21.6
Georgia,7.7,4,7.9,7.6
Ghana,14.9,9.4,7.1,4.1
Guatemala,22.2,18.2,17.7,16
Guinea,NaN,NaN,NaN,NaN
Guinea-Bissau,15.6,16.3,26.7,31.7
Guyana,6.5,7.5,7,4.9
Haiti,50.7,50.1,42.6,47.2
Honduras,21.9,21,14.6,15.3
Hungary,2,2,2,2
India,18.4,17.5,14.8,16.3
Indonesia,19.2,18.5,7.9,6.5
Iran (Islamic Republic of),4.8,5.7,4.9,4.1
Iraq,22.1,17.8,17.3,15.9
Jamaica,7.4,8.3,9.3,6.9
Jordan,9.7,6.1,6,16.9
Kazakhstan,6.5,5.1,2,2
Kenya,32.2,26.9,19.6,26.9
Korea (DPR),35.7,38.2,39.6,41.6
Kuwait,2.6,2,2,2.7
Kyrgyzstan,15,9.6,6.1,5.3
Lao PDR,31.2,20.1,8,5.1
Latvia,4.6,2,2,2
Lebanon,7.8,9.9,5.5,10.9
Lesotho,20,12.4,26.1,34.7
Liberia,36.6,34.4,36.8,38.3
Libya,NaN,NaN,NaN,NaN
Lithuania,2,2,2,2
Madagascar,33.8,30.5,37.6,48.5
Malawi,23.6,19.3,15.4,17.8
Malaysia,2.5,3.6,3.6,2
Maldives,NaN,NaN,NaN,NaN
Mali,16.2,10.4,3.6,9.8
Mauritania,8.3,8.1,8,10.1
Mauritius,5.7,5.2,5.3,7.8
Mexico,3.3,4.1,4.4,6.1
Moldova (Rep. of),24.6,30.7,6.4,6.7
Mongolia,31.1,25.2,10.1,3.6
Montenegro,9.6,2,2,2
Morocco,6.3,5.5,4.1,5.6
Mozambique,NaN,NaN,NaN,NaN
Myanmar,37.6,20.5,5.1,3.1
Namibia,13.5,23.5,21.5,18
Nepal,23.5,14.9,6.1,5.5
Nicaragua,27.5,21.6,19.7,18.6
Niger,22.3,17.7,13.2,19.8
Nigeria,8.9,6.6,9.2,12.7
North Macedonia,7.5,3.6,3.5,3.3
Oman,12.3,9.7,7.1,9.8
Pakistan,21.1,15.8,13.4,16.9
Panama,24.5,16.2,8.3,5.8
Papua New Guinea,26.3,26.6,23.1,21.6
Paraguay,10.5,9.4,7.1,8.7
Peru,21.5,13.7,5.4,8.3
Philippines,18.7,12.1,11.1,5.2
Qatar,NaN,NaN,NaN,NaN
Romania,2,2,2,2
Russian Federation,4,2,2,2
Rwanda,38.5,32.3,35.1,35.8
Saudi Arabia,4.9,4.8,4.3,3.7
Senegal,24.1,13.6,11.8,7.5
Serbia,3.1,2,3.7,3.3
Sierra Leone,50.7,41.7,25,27.4
Slovakia,6.1,5.4,5.8,3.8
Solomon Islands,13.3,12.6,18.7,18.1
Somalia,NaN,NaN,NaN,NaN
South Africa,3.9,3.6,4.8,6.9
South Sudan,NaN,NaN,NaN,NaN
Sri Lanka,16.7,11.8,6,3.4
Sudan,21.5,16.7,11.1,12.8
Suriname,11.8,8.8,7.3,8.2
Syrian Arab Republic,NaN,NaN,NaN,NaN
Tajikistan,40.9,36.2,18.4,8.6
Tanzania (United Rep. of),33.1,25.7,22.5,22.6
Thailand,17.3,10.2,7.8,8.8
Timor-Leste,41.5,31.7,25.3,26.2
Togo,31.3,26.2,20.2,18.8
Trinidad & Tobago,10,9.9,6.6,7.5
Tunisia,4.4,4,2.7,3.1
Türkiye,2,2,2,2
Turkmenistan,6.8,3.9,3.6,3.5
Uganda,NaN,NaN,NaN,NaN
Ukraine,3,2,2,2.8
United Arab Emirates,2.8,8.1,6.6,5.6
Uruguay,3.6,3.1,2,2
Uzbekistan,17.9,11.5,2,2
Venezuela (Boliv. Rep. of),14.9,4.8,4.5,22.9
Viet Nam,19.7,14.1,8.6,5.7
Yemen,26.7,26.1,38.1,41.4
Zambia,51.7,55.5,37.7,30.9
Zimbabwe,NaN,NaN,NaN,NaN
