Country,2000,2007,2014,2022
Afghanistan,12.9,10,7.4,5.8
Albania,2.7,1.7,1,1
Algeria,4,3.1,2.5,2.3
Angola,20.4,14.7,9.3,7.1
Argentina,2,1.6,1.2,0.9
Armenia,3.1,2.1,1.5,1.1
Azerbaijan,7.4,4.6,2.8,1.9
Bahrain,1.2,1,0.8,0.7
Bangladesh,8.6,5.8,4,2.9
Belarus,1.3,0.7,0.4,0.3
Benin,13.7,11.6,10,8.6
Bhutan,7.7,5.1,3.5,2.8
Bolivia (Plurinat. State of),7.6,5,3.3,2.5
Bosnia & Herzegovina,1,0.8,0.6,0.6
Botswana,8,5.9,5,4.5
Brazil,3.5,2.2,1.6,1.5
Bulgaria,1.8,1.2,0.9,0.6
Burkina Faso,17.9,13.9,10.5,8.5
Burundi,15.4,11,7.1,5.4
Cabo Verde,3.8,2.8,2.1,1.4
Cambodia,10.6,5.5,3.3,2.6
Cameroon,14.4,12.1,9.2,7.2
Central African Republic,16.9,15.6,12.8,10.3
Chad,18.4,16,13.2,11
Chile,1.1,0.9,0.8,0.7
China,3.7,2,1.2,0.7
Colombia,2.5,2,1.6,1.3
Comoros,10.1,9.2,7.5,6.1
Congo (Republic of),11.4,7.4,5.4,4.5
Costa Rica,1.3,1.1,0.9,0.8
Côte d'Ivoire,14.3,11.8,9.4,7.8
Croatia,0.8,0.6,0.5,0.5
Dem. Rep. of the Congo,15.9,12.7,9.9,8.1
Djibouti,10.1,8.4,6.8,5.6
Dominican Republic,4,3.6,3.5,3.4
Ecuador,3,2.2,1.6,1.3
Egypt,4.7,3.3,2.4,1.9
El Salvador,3.3,2.3,1.6,1.3
Equatorial Guinea,15.6,12.4,9.7,7.8
Eritrea,8.5,6.2,4.8,3.9
Estonia,1.1,0.6,0.3,0.2
Eswatini,11.2,10.4,6.2,4.7
Ethiopia,14.1,9.7,6.6,4.9
Fiji,2.2,2.4,2.4,2.7
Gabon,8.3,6.9,5.3,4.2
Gambia,11.3,8.4,6.2,4.9
Georgia,3.7,1.9,1.1,0.9
Ghana,10,7.8,5.7,4.5
Guatemala,5.2,3.9,2.9,2.4
Guinea,16.4,12.7,10.9,9.6
Guinea-Bissau,17.4,13.2,9.6,7.7
Guyana,4.6,4,3.4,2.8
Haiti,10.4,8.5,7.2,6
Honduras,3.7,2.7,2,1.6
Hungary,1,0.7,0.5,0.4
India,9.2,6.8,4.6,3.3
Indonesia,5.2,3.8,2.9,2.3
Iran (Islamic Republic of),3.6,2.3,1.6,1.3
Iraq,4.4,3.8,3.1,2.5
Jamaica,2.2,1.9,1.6,1.3
Jordan,2.7,2.2,1.8,1.5
Kazakhstan,4.2,2.7,1.3,1
Kenya,9.8,6.8,5.1,4.2
Korea (DPR),6,3.2,2.2,1.7
Kuwait,1.2,1.1,0.9,0.9
Kyrgyzstan,5,3.6,2.3,1.8
Lao PDR,10.7,7.9,5.6,4.4
Latvia,1.4,0.9,0.5,0.4
Lebanon,2,1.2,0.9,0.7
Lesotho,10.7,11.4,9.4,9
Liberia,19,11.4,9.2,7.8
Libya,2.8,2,1.4,1.1
Lithuania,1.1,0.8,0.5,0.3
Madagascar,10.5,7.8,6.1,5
Malawi,17.5,10,5.8,3.9
Malaysia,1,0.8,0.8,0.9
Maldives,3.9,1.8,1.1,0.6
Mali,18.7,14.5,11.2,9.1
Mauritania,11.2,10.4,8.5,7.1
Mauritius,1.9,1.5,1.5,1.7
Mexico,2.8,2.1,1.7,1.4
Moldova (Rep. of),3.2,1.8,1.6,1.4
Mongolia,6.3,3.4,2,1.5
Montenegro,1.4,0.9,0.4,0.2
Morocco,5.2,3.7,2.5,1.9
Mozambique,17,11.9,8.8,7.1
Myanmar,9,7.2,5.4,4.4
Namibia,7.6,6.1,4.8,4
Nepal,7.9,5.3,3.7,2.8
Nicaragua,3.9,2.7,2,1.6
Niger,22.5,14.9,9.8,7.8
Nigeria,18.3,14.6,12.8,11.4
North Macedonia,1.6,1.2,1.1,0.6
Oman,1.6,1.2,1.1,1.1
Pakistan,10.8,9.3,7.8,6.5
Panama,2.6,2.2,1.8,1.4
Papua New Guinea,7.1,6.2,5.2,4.4
Paraguay,3.4,2.9,2.3,1.9
